lemma,variant,reason
تَرَأَّس,يترأسه,same lemma
سافَر,يسافر,same lemma
سَكَن,يسكنها,same lemma
شَكّ,يشك,same lemma
ضَحْك,يضحك,same lemma
قاتِل,يقاتل,same lemma
ٱِكْتَفَى,يكتف,same lemma
لَبَّى,يلبي,same lemma
ذَهَب,أذهب,same lemma
ٱِتَّهَم,اتهموا,same lemma
ٱِحْتِرام,احتراما,same lemma
صِدِّيق,اصدقاء,same lemma
أُسْبُوع,الأسبوعين,same lemma
عَرَض,الأعراض,same lemma
ٱِحْتِجاز,الاحتجاز,same lemma
ٱِخْتِراق,الاختراق,same lemma
نَظَر,الانظار,same lemma
أَهْل,الاهالي,same lemma
تَصَوُّر,التصورات,same lemma
تَهْنِئَة,التهنئة,same lemma
جانِي,الجاني,same lemma
حَلِيف,الحليفة,same lemma
دَوْلَة,الدولتان,same lemma
زَعِيم,الزعيمان,same lemma
فَعّال,الفعال,same lemma
قَناعَة,القناعة,same lemma
مَعْرُوف,المعروفين,same lemma
مَهْجَر,المهجر,same lemma
ٱِنْطِباع,انطباع,same lemma
أَسْر,بأسرها,same lemma
أَمْر,بأمور,same lemma
عَمَل,بالأعمال,same lemma
سِيادَة,بسيادة,same lemma
مَوْقِف,بمواقف,same lemma
هَزِيمَة,بهزيمة,same lemma
تَصاعُد,تتصاعد,same lemma
ٱِسْتَعاد,تستعيد,same lemma
تَعاطُف,تعاطف,same lemma
تَعَرُّف,تعرفت,same lemma
لَزِم,تلزم,same lemma
مَهَّد,تمهد,same lemma
ٱِنْخَفَض,تنخفض,same lemma
جاء,جاؤوا,same lemma
جَوّال,جوال,same lemma
ذُو,ذويهم,same lemma
زاد,زاده,same lemma
بَحْث,ستبحث,same lemma
سِوَى,سوي,same lemma
شائِع,شائعة,same lemma
عَبْر,عبّر,same lemma
قَرار,قراراته,same lemma
أَيّ,كأي,same lemma
تَهْرِيب,لتهريب,same lemma
مُرَشَّح,للمرشحين,same lemma
مَوْقِف,للموقف,same lemma
مُراسِل,لمراسل,same lemma
مُشارَكَة,لمشاركة,same lemma
مُشْكِلَة,لمشاكل,same lemma
مُخْتَصّ,مختصة,same lemma
مُشارِك,مشارك,same lemma
مُعْتَمَد,معتمدة,same lemma
مُعَوِّق,معوقات,same lemma
مَقَرّ,مقار,same lemma
مُنافِس,منافسيه,same lemma
مُنْتَخَب,منتخبنا,same lemma
أَبْرَز,وأبرز,same lemma
إِنْتاج,وإنتاج,same lemma
ٱِسْتِقْلال,واستقلال,same lemma
أَدَب,والأدب,same lemma
أَمَل,والأمل,same lemma
قُنْبُلَة,والقنابل,same lemma
أَمام,وامام,same lemma
نَفْس,وبنفس,same lemma
جُنْدِيّ,وجنود,same lemma
سُلْطَة,وسلطة,same lemma
دَفْع,ويدفع,same lemma
أَمْر,يأمر,same lemma
لَوْح,يلوح,same lemma
يَمَنِيّ,يمني,same lemma
خَطَر,أخطار,same lemma
أَداء,أدائه,same lemma
أَرْض,أراضيهم,same lemma
صَوْت,أصواتهم,same lemma
أَعاق,إعاقة,same lemma
ٱِحْتِياج,احتياجاتها,same lemma
إِشْراف,اشراف,same lemma
قَرَأ,اقرأ,same lemma
أُولِمْبِيّ,الأولمبي,same lemma
ٱِتِّفاقِيَّة,الإتفاقية,same lemma
ٱِنْبِعاث,الانبعاثات,same lemma
أُورُبِّيّ,الاوربي,same lemma
بِطاقَة,البطاقات,same lemma
رِيال,الريال,same lemma
لَيْلَى,الليلية,same lemma
مالِيزِيّ,الماليزي,same lemma
ٱِنْتِقال,انتقاله,same lemma
إِدْخال,بإدخال,same lemma
إِمْكان,بإمكانها,same lemma
قَضاء,بالقضاء,same lemma
ماء,بالماء,same lemma
زَعَم,بزعم,same lemma
شَكْوَى,بشكوى,same lemma
صَوْت,بصوته,same lemma
بَعِيد,بعيدًا,same lemma
تَمَتَّع,تمتع,same lemma
تَناوَل,تناولها,same lemma
جاهِز,جاهزية,same lemma
خَصْم,خصم,same lemma
رَدّ,ردّ,same lemma
رَعِيَّة,رعاياها,same lemma
زَمِيل,زميل,same lemma
زاوِيَة,زوايا,same lemma
وَنّ,ستون,same lemma
حَضَر,سيحضر,same lemma
طَرَف,طرفاً,same lemma
عابِد,عابد,same lemma
عَصَف,عصفت,same lemma
غَرِيب,غريباً,same lemma
كَلام,كلامي,same lemma
ٱِسْتِغْلال,لاستغلال,same lemma
لَعَلَّ,لعله,same lemma
آخَر,للآخر,same lemma
قَوْل,للقول,same lemma
نَقْل,للنقل,same lemma
مُغادَرَة,لمغادرة,same lemma
مُحامِي,محاميه,same lemma
مُسَلَّح,مسلحو,same lemma
مُنْتَج,منتجة,same lemma
نَفَّذ,نفذوا,same lemma
هُجُوم,هجومها,same lemma
هُوِيَّة,هويات,same lemma
رَجا,وأرجو,same lemma
واجِب,واجبات,same lemma
ٱِجْتَمَع,واجتمع,same lemma
إِسْبانِيا,واسبانيا,same lemma
أَزْمَة,والأزمات,same lemma
فَنّان,والفنان,same lemma
مُتَفَجِّر,والمتفجرات,same lemma
تَأْسِيس,وتأسيس,same lemma
جَماعَة,وجماعة,same lemma
رُوح,وروح,same lemma
هَدَّد,ويهدد,same lemma
وَصَف,يصفه,same lemma
أَعْطَى,يعطى,same lemma
أَخْلاقِيّ,أخلاقي,same lemma
رُبْع,أرباع,same lemma
أَعْلَن,أعلنته,same lemma
ايار/مايو,أيار/مايو,same lemma
إِسْرائِيلِيّ,إسرائيليون,same lemma
ٱِتِّخاذ,اتخاذه,same lemma
ٱِحْتِجاج,احتجاجية,same lemma
ٱِسْتَخْدَم,استخدمها,same lemma
ضَرَر,اضرارا,same lemma
كان,اكون,same lemma
شَجَرَة,الأشجار,same lemma
إِطار,الأطر,same lemma
إِبْقاء,الابقاء,same lemma
ٱِعْتِبار,الاعتبارات,same lemma
تَأْشِير,التأشيرة,same lemma
حَرْف,الحروف,same lemma
حِكايَة,الحكاية,same lemma
ساحَة,الساحتين,same lemma
عِيسَى,العيسى,same lemma
مُحَقِّق,المحققون,same lemma
مَيِّت,الموتى,same lemma
ٱِنْسِحاب,انسحابه,same lemma
أَلْمانِيا,بألمانيا,same lemma
ساكِن,بالسكان,same lemma
مَعْلُومَة,بالمعلومات,same lemma
حُدُوث,بحدوث,same lemma
خَيْبَة,بخيبة,same lemma
شَخْص,بشخص,same lemma
تَحَسُّن,تحسنت,same lemma
تَرْوِيج,ترويج,same lemma
سَهْل,تسهل,same lemma
جُزْئِيّ,جزئي,same lemma
حاضِر,حاضر,same lemma
خاض,خاضت,same lemma
خَلا,خلت,same lemma
دِيمُوقراطِيّ,ديموقراطي,same lemma
ذَهَب,ذهبوا,same lemma
سِعْر,سعره,same lemma
شَرْط,شروطا,same lemma
شَغَل,شغلت,same lemma
صِناعَة,صناعات,same lemma
طالَب,طالباً,same lemma
عاش,عاشوا,same lemma
عائِق,عوائق,same lemma
أَمّا,فإما,same lemma
فَتَى,فتى,same lemma
فِعْل,فعلها,same lemma
فَلَك,فلك,same lemma
حَدّ,كحد,same lemma
خَطْوَة,كخطوة,same lemma
أَهَمِّيَّة,لأهمية,same lemma
أَمِين,للأمين,same lemma
ٱِهْتِمام,للاهتمام,same lemma
طُنّ,للطن,same lemma
مَسِيرَة,لمسيرة,same lemma
لِيبِيّ,ليبي,same lemma
مَجْزَرَة,مجازر,same lemma
مَحَلِّيّ,محليين,same lemma
مُشَجِّع,مشجع,same lemma
مَطْلُوب,مطلوبة,same lemma
مُعْلَن,معلن,same lemma
مَقْبُول,مقبولا,same lemma
دَعْم,ندعم,same lemma
أَشار,نشير,same lemma
أَرْمِينِيا,وأرمينيا,same lemma
ٱِنْتِماء,والانتماء,same lemma
تَصْرِيح,والتصريحات,same lemma
سِتّ,والستين,same lemma
مُساعَدَة,والمساعدات,same lemma
أَنَّ,وبأنه,same lemma
قَضَى,وتقضي,same lemma
واصَل,ويواصل,same lemma
تَعامُل,يتعاملون,same lemma
سِرِّيّ,يسري,same lemma
كَثُر,يكثر,same lemma
مات,يموتون,same lemma
أَكَّد,أكده,same lemma
أَمْر,أمرنا,same lemma
إِنْتاجِيّ,إنتاجية,same lemma
أَبْدَى,ابدت,same lemma
أُسْتاذ,الأساتذة,same lemma
إِيراد,الإيرادات,same lemma
الاخري،,الاخرى،,same lemma
عَدُوّ,الاعداء,same lemma
ٱِنْقِلاب,الانقلابات,same lemma
بَرازِيلِيّ,البرازيلية,same lemma
تَقْدِيم,التقديم,same lemma
رَجُل,الرجلان,same lemma
شَحْنَة,الشحنات,same lemma
ضَرِيبَة,الضريبة,same lemma
عَجِيب,العجيب,same lemma
عَيْن,العينين,same lemma
قارِئ,القاري,same lemma
قِياس,القياس,same lemma
مَزِيَّة,المزايا,same lemma
مُفْرِط,المفرط,same lemma
مُنْعَقَد,المنعقدة,same lemma
أَمام,امامه,same lemma
ٱِهْتِمام,اهتماماً,same lemma
باحِث,باحث,same lemma
إِعْلان,باعلان,same lemma
ٱِقْتِراح,باقتراح,same lemma
مَجْلِس,بالمجلس,same lemma
دَم,بدماء,same lemma
زَمَن,بزمن,same lemma
كَفاءَة,بكفاءة,same lemma
مَصِير,بمصير,same lemma
وُسْع,بوسعه,same lemma
تَأَخَّر,تأخرت,same lemma
تَطَرَّق,تتطرق,same lemma
رَضِي,ترضى,same lemma
تَزايُد,تزايدت,same lemma
مَكَّن,تمكنه,same lemma
نَبَع,تنبع,same lemma
نَعَم,تنعم,same lemma
ثِقَة,ثقتهم,same lemma
جُثَّة,جثته,same lemma
جِنِرال,جنرالات,same lemma
خاض,خاضها,same lemma
خَلَص,خلصت,same lemma
خَلْفِيَّة,خلفيات,same lemma
تَوَلِّي,ستتولى,same lemma
رَدّ,سترد,same lemma
غَنِيّ,غنت,same lemma
غَوّاصَة,غواصات,same lemma
فاجَأ,فاجأ,same lemma
أَمْر,فالأمر,same lemma
بَدِيل,كبديل,same lemma
تَجْدِيد,لتجديد,same lemma
تَصْدِير,لتصدير,same lemma
تَعْوِيض,لتعويض,same lemma
سِتّ,لستة,same lemma
قِياس,لقياس,same lemma
مُفاوَضَة,لمفاوضات,same lemma
مارِس,مارست,same lemma
مُبالَغَة,مبالغة,same lemma
مِثْل,مثلت,same lemma
مَسْؤُولِيَّة,مسؤولياته,same lemma
مُقَدَّس,مقدسة,same lemma
دَخَل,ندخل,same lemma
نَشَط,نشط,same lemma
نَظَر,نظرت,same lemma
نِقابَة,نقابات,same lemma
هُنَّ,هن,same lemma
ٱِسْتِثْمار,واستثمار,same lemma
ٱِسْتِعْداد,والاستعداد,same lemma
عَطاء,والعطاء,same lemma
لافِت,واللافت,same lemma
مُسْتَقْبَل,والمستقبل,same lemma
مَكْسِيك,والمكسيك,same lemma
ناتُو,والناتو,same lemma
وِكالَة,والوكالة,same lemma
ٱِنْهِيار,وانهيار,same lemma
بَدَل,وبدلاً,same lemma
أَصَرّ,وتصر,same lemma
بَقِي,وستبقى,same lemma
سِياسَة,وسياسات,same lemma
صَحِيح,وصحيح,same lemma
ظَرْف,وظروف,same lemma
وَقْت,وقتاً,same lemma
مُحافَظَة,ومحافظة,same lemma
واضِح,وواضح,same lemma
أَتَى,وياتي,same lemma
أَطْلَق,ويطلق,same lemma
ٱِنْتَهَى,وينتهي,same lemma
تَجاهُل,يتجاهل,same lemma
حارَب,يحارب,same lemma
ٱِكْتَمَل,يكتمل,same lemma
أَفْرِيقِيّ,أفريقية,same lemma
أَلْغَى,ألغى,same lemma
أَمَل,أملا,same lemma
إِقامَة,إقامتها,same lemma
ٱِنْتِهاء,إنتهاء,same lemma
إِتْمام,اتمام,same lemma
ٱِحْتَفَل,احتفل,same lemma
ٱِحْتِياطِيّ,احتياطيات,same lemma
أُخْرَى,اخري,same lemma
قَطَر,الأقطار,same lemma
إِسْكان,الاسكان,same lemma
ٱِقْتِصاد,الاقتصادات,same lemma
بَلاغ,البلاغ,same lemma
تَشْكِيل,التشكيلات,same lemma
حِرْمان,الحرمان,same lemma
رَحِم,الرحم,same lemma
رُوبِل,الروبل,same lemma
زَعامَة,الزعامة,same lemma
سَمِع,السمع,same lemma
عائِد,العائدات,same lemma
عَلامَة,العلامات,same lemma
فائِز,الفايز,same lemma
مُؤامَرَة,المؤامرات,same lemma
مالِك,المالك,same lemma
مَجّانِيّ,المجاني,same lemma
مَشْبُوه,المشبوهة,same lemma
مَعْنَوِيّ,المعنوي,same lemma
مُقارَبَة,المقاربة,same lemma
مُلاحَظَة,الملاحظة,same lemma
أَمْرِيكِيّ,اميركيا,same lemma
ٱِنْتِشار,انتشارا,same lemma
ٱِنْتِماء,انتماء,same lemma
بَشَر,بالبشر,same lemma
رَغْبَة,برغبة,same lemma
عَشَرَة,بعشرة,same lemma
بَنِي,تبنيها,same lemma
خَفَّف,تخفف,same lemma
تَطْبِيق,تطبيقات,same lemma
تَقَدَّم,تقدّم,same lemma
تَمَنَّى,تمنى,same lemma
نَفَع,تنفع,same lemma
خِيار,خيارا,same lemma
ناقَش,ستناقش,same lemma
سُلْطَة,سلطته,same lemma
صُورَة,صورها,same lemma
عَرِيق,عريقة,same lemma
فُرْصَة,فرصا,same lemma
فَشَل,فشلوا,same lemma
كَم,فكم,same lemma
فاجَأ,فوجئ,same lemma
قَرِيب,قريبًا,same lemma
إِسْقاط,لإسقاط,same lemma
بَرْنامَج,لبرامج,same lemma
صَدّام,لصدام,same lemma
جِهاز,للأجهزة,same lemma
ٱِسْتِماع,للاستماع,same lemma
قَتَل,للقتل,same lemma
كَهْرَباء,للكهرباء,same lemma
مُتَطَرِّف,متطرفين,same lemma
مُحِيط,محيطه,same lemma
مُسْتَعِدّ,مستعدا,same lemma
مَصْلَحَة,مصلحتها,same lemma
مَعْنِيّ,معناها,same lemma
ناطِق,ناطقة,same lemma
تَساءَل,نتساءل,same lemma
رَجا,نرجو,same lemma
رَغِب,نرغب,same lemma
إِسْلامِيّ,والاسلامي,same lemma
تَحْرِيض,والتحريض,same lemma
تَوَجَّه,والتوجه,same lemma
جَبْهَة,والجبهة,same lemma
سِياسَة,والسياسات,same lemma
مُجْتَمَع,والمجتمعات,same lemma
مُشارَكَة,وبمشاركة,same lemma
ٱِعْتَمَد,وتعتمد,same lemma
سَبْع,وسبعة,same lemma
مُسَلَّح,ومسلحين,same lemma
فَهِم,يفهمون,same lemma
كَسْب,يكسب,same lemma
يَمِينِيّ,يمينية,same lemma
نَعَم,ينعم,same lemma
أَبْناء,أبنائنا,same lemma
أَسْعَد,أسعد,same lemma
آل,إل,same lemma
أَمْر,إمرأة,same lemma
إِجازَة,اجازة,same lemma
حُرّ,الأحرار,same lemma
أُسْتُرالِيّ,الأسترالي,same lemma
نَوْع,الأنواع,same lemma
تَدْرِيبِيّ,التدريبي,same lemma
تَمَتَّع,التمتع,same lemma
حالِيّ,الحاليين,same lemma
خاطِئ,الخاطئ,same lemma
دَرّاجَة,الدراجات,same lemma
ضَرِيبِيّ,الضريبي,same lemma
مَعُونَة,المعونة,same lemma
مَقُولَة,المقولة,same lemma
مُنافَسَة,المنافسات,same lemma
مُهاجِر,المهاجر,same lemma
أَمْرِيكِيّ,اميركيون,same lemma
ٱِنْتَظَر,انتظر,same lemma
ٱِنْضِمام,انضمامها,same lemma
هَدَف,اهدافها,same lemma
إِعْطاء,بإعطاء,same lemma
بير,بئر,same lemma
تَشْجِيع,بتشجيع,same lemma
شَرْعِيَّة,بشرعية,same lemma
عام,بعام,same lemma
عِلْم,بعلم,same lemma
نادِي,بنادي,same lemma
بُوب,بوب,same lemma
تَبِع,تبعاً,same lemma
تَفاوُض,تتفاوض,same lemma
جَلَس,تجلس,same lemma
حَمَل,تحملها,same lemma
تَذْكِير,تذكير,same lemma
قال,تقوله,same lemma
جَبّار,جبارة,same lemma
جَدِير,جديرة,same lemma
جُنْدِيّ,جنديان,same lemma
جُنْدِيّ,جنديًا,same lemma
خَراب,خراب,same lemma
خَطَّط,خططت,same lemma
رَبّ,ربي,same lemma
رِيال,ريالاً,same lemma
سِحْر,سحر,same lemma
سِوَى,سواه,same lemma
ساهَم,سيساهم,same lemma
طَلَب,سيطلب,same lemma
شَقِيقَة,شقيقة,same lemma
صُلْب,صلبة,same lemma
طُول,طولها,same lemma
أَنَّ,فإني,same lemma
فَجْر,فجرت,same lemma
ها,فها,same lemma
هَدَف,لأهداف,same lemma
إِلْغاء,لإلغاء,same lemma
بَلَد,لبلدان,same lemma
قائِد,للقادة,same lemma
مُتَقَدِّم,متقدما,same lemma
مِثْل,مثلي,same lemma
مَسِيحِيّ,مسيحيين,same lemma
حَصَل,نحصل,same lemma
حَقَّق,نحقق,same lemma
نَصِيحَة,نصائح,same lemma
نَقْض,نقض,same lemma
ٱِعْتِبار,واعتبار,same lemma
تَدَخُّل,والتدخل,same lemma
زاد,وتزيد,same lemma
جَهْد,وجهود,same lemma
سُهُولَة,وسهولة,same lemma
شامِل,وشامل,same lemma
شَعْب,وشعبها,same lemma
وَضْع,وضعهم,same lemma
مِئَة,ومئات,same lemma
مُتَطَلَّبات,ومتطلبات,same lemma
مُراجَعَة,ومراجعة,same lemma
مَوْضُوع,وموضوع,same lemma
أَقام,ويقيم,same lemma
أَخْطَأ,يخطئ,same lemma
عَبْر,يعبرون,same lemma
فِعْل,يفعلوا,same lemma
كان,يكونا,same lemma
مَلِك,يملكه,same lemma
أَمْن,آمنوا,same lemma
أَبْرِياء,أبرياء,same lemma
خَشِي,أخشى,same lemma
أَمِير,أمراء,same lemma
ٱِخْتار,اختاروا,same lemma
ٱِسْتَغَلّ,استغلت,same lemma
ٱِسْتِيلاء,استيلاء,same lemma
أَسَف,اسفه,same lemma
فِيلْم,افلام,same lemma
إِجازَة,الإجازة,same lemma
ٱِتِّحاد,الاتحادات,same lemma
إِساءَة,الاساءة,same lemma
إِسْلامِيّ,الاسلاميون,same lemma
أَسِيَوِيّ,الاسيوية,same lemma
بَكْر,البكر,same lemma
رَقِيب,الرقيب,same lemma
شاحِنَة,الشاحنة,same lemma
صاعِد,الصاعد,same lemma
صَحافِيّ,الصحافيون,same lemma
صَقْر,الصقر,same lemma
كُرْدِسْتانِيّ,الكردستانية,same lemma
كَمْبيُوتِر,الكومبيوتر,same lemma
مُتَحَدِّث,المتحدثين,same lemma
مُفْرَدات,المفردات,same lemma
وَلِيّ,الولي,same lemma
ٱِمْتِياز,امتيازات,same lemma
أَنَّ,انكم,same lemma
إِلْقاء,بإلقاء,same lemma
أَكْثَر,باكثر,same lemma
تَفاوُض,بالتفاوض,same lemma
لَهْجَة,باللهجة,same lemma
تَحْرِير,بتحرير,same lemma
غالِبِيَّة,بغالبية,same lemma
جار,جارتها,same lemma
جَعَل,جعلته,same lemma
دِين,ديونها,same lemma
حَلّ,ستحل,same lemma
كِير,كير,same lemma
ٱِسْتِخْدام,لاستخدامها,same lemma
بَغْداد,لبغداد,same lemma
حَلّ,لتحل,same lemma
فَكّ,لفك,same lemma
لٰكِنَّ,لكنهما,same lemma
تَغَلُّب,للتغلب,same lemma
طَرَف,للطرفين,same lemma
مَسْأَلَة,لمسألة,same lemma
مُتَغَيِّر,متغيرات,same lemma
مَجال,مجالاً,same lemma
مَجِيد,مجيد,same lemma
مُحْتَلّ,محتلة,same lemma
مَلِيء,مليء,same lemma
مُناقَشَة,مناقشته,same lemma
نَزَل,نزلت,same lemma
صار,نصير,same lemma
نَظَرِيَّة,نظريات,same lemma
نَوَّه,نوه,same lemma
فِكْر,وأفكار,same lemma
واثِق,واثقة,same lemma
حِزْب,والاحزاب,same lemma
بُعْد,والبعد,same lemma
مُتَمَثِّل,والمتمثلة,same lemma
ٱِمْرَأَة,وامرأة,same lemma
بَعِيد,وبعيداً,same lemma
جُون,وجون,same lemma
عَثَر,وعثر,same lemma
مَحَطَّة,ومحطات,same lemma
تَزامُن,يتزامن,same lemma
لَعِب,يلعبون,same lemma
مِثْل,يمثلها,same lemma
أَوْرَد,أوردته,same lemma
ايلول/سبتمبر,أيلول/سبتمبر,same lemma
آيَة,أيه,same lemma
إِجْرامِيّ,إجرامية,same lemma
شِعْر,إشعار,same lemma
إِغاثَة,إغاثة,same lemma
إِيرانِيّ,إيرانيين,same lemma
ٱِحْتِلال,احتلالها,same lemma
سِرِّيّ,الأسرية,same lemma
تَشْجِيع,التشجيع,same lemma
ذِهْن,الذهن,same lemma
سُور,السور,same lemma
صِينِيّ,الصينيون,same lemma
إِلِكْترُونِيّ,الكتروني,same lemma
كُرْدِيّ,الكرديين,same lemma
مَبْدَئِيّ,المبدئي,same lemma
مَبْدَئِيّ,المبدئية,same lemma
مُبَرِّر,المبررات,same lemma
أَمْثَل,المثلى,same lemma
مَعْلُوم,المعلوم,same lemma
مُفْتَرَض,المفترضة,same lemma
مِنْبَر,المنبر,same lemma
أَنَّ,بأني,same lemma
تَحَرُّك,بالتحرك,same lemma
كاد,بالكاد,same lemma
بَطَل,بطلة,same lemma
قِراءَة,بقراءة,same lemma
كامِل,بكاملها,same lemma
ٱِخْتَفَى,تختفي,same lemma
شابَّة,تشابه,same lemma
ضاع,تضيع,same lemma
قَصَد,تقصد,same lemma
تَلا,تلا,same lemma
حَضَر,حضرها,same lemma
خَيْر,خيرة,same lemma
سائِد,سائدة,same lemma
زاد,ستزيد,same lemma
سَجِين,سجينا,same lemma
سَيِّد,سيدنا,same lemma
سِيرْجِي,سيرجي,same lemma
سَعَى,سيسعى,same lemma
غادَر,سيغادر,same lemma
شَرْط,شرطا,same lemma
شَهادَة,شهادته,same lemma
صُدُور,صدوره,same lemma
ضاع,ضاعت,same lemma
طاقِم,طاقمها,same lemma
ثَمَّةَ,فثمة,same lemma
قَيْد,قيودا,same lemma
كُونْج,كونج,same lemma
ظَرْف,لظروف,same lemma
إِخْوَة,للإخوان,same lemma
صِناعَة,للصناعات,same lemma
ٱِرْتَفَع,ليرتفع,same lemma
كان,ليكونوا,same lemma
مُتَشَدِّد,متشددين,same lemma
مُتَمَرِّد,متمردون,same lemma
مُسْتَشار,مستشارا,same lemma
مُشَدِّد,مشددًا,same lemma
مُضاعَفَة,مضاعفات,same lemma
مَعْهَد,معاهد,same lemma
مِلَفّ,ملفها,same lemma
مُنْتَظَر,منتظر,same lemma
أَزْمَة,وأزمة,same lemma
وافَق,وافقوا,same lemma
جَماعَة,والجماعة,same lemma
مَرْكَز,والمركز,same lemma
بَذْل,وبذل,same lemma
تَرَك,وتركت,same lemma
تَسَلَّم,وتسلم,same lemma
كَبِير,وكبير,same lemma
مُلاحَقَة,وملاحقة,same lemma
ٱِسْتَخْدَم,ويستخدم,same lemma
أَجْبَر,يجبر,same lemma
حَصَل,يحصلوا,same lemma
يَحْيَى,يحيي,same lemma
خَضَع,يخضعون,same lemma
أَمْن,آمنا,same lemma
أَشار,أشرت,same lemma
فِكْر,أفكر,same lemma
إِنْفاق,أنفاق,same lemma
ٱِرْتِفاع,ارتفاعها,same lemma
ٱِسْتِعْداد,استعدادهم,same lemma
أَفْرِيقِيّ,افريقي,same lemma
أَضْحَى,الأضحى,same lemma
أَكْل,الأكل,same lemma
ٱِجْتِماع,الإجتماع,same lemma
ٱِقْتِصادِيّ,الإقتصادي,same lemma
أَصْل,الاصول,same lemma
أَمْرِيكِيّ,الامريكان,same lemma
ثَوْرَة,الثورات,same lemma
جُزْئِيّ,الجزئية,same lemma
رَمْز,الرمز,same lemma
عائِد,العائدة,same lemma
عِراقِيّ,العراقى,same lemma
عاطِفَة,العواطف,same lemma
غَرَق,الغرق,same lemma
قَوْمِيّ,القومى,same lemma
مانِح,المانحين,same lemma
مَتْحَف,المتاحف,same lemma
مُرَكَّب,المركب,same lemma
مَقْهَى,المقهى,same lemma
مُنْتَظَر,المنتظرة,same lemma
أَنَس,اناس,same lemma
مَرْأَة,بالمرأة,same lemma
تَبَنِّي,بتبني,same lemma
تَفْصِيل,بتفاصيل,same lemma
حَقِيقَة,بحقيقة,same lemma
خِطاب,بخطاب,same lemma
بَذْل,بذلها,same lemma
سِلاح,بسلاح,same lemma
بَلْدَة,بلدات,same lemma
تَبَنِّي,تبنيه,same lemma
تَحَسُّن,تحسنا,same lemma
تَحْلِيق,تحليق,same lemma
تَدَخُّل,تدخلات,same lemma
رَصْد,ترصد,same lemma
صادَف,تصادف,same lemma
تَعامُل,تعامله,same lemma
تَغْذِيَة,تغذية,same lemma
تَكَرَّر,تكررت,same lemma
ثُلاثِيّ,ثلاثي,same lemma
جُمْعَة,جمعه,same lemma
رَفْع,رفعوا,same lemma
سِياسِيّ,ساسة,same lemma
سَعَى,سعيه,same lemma
سَمَّى,سميت,same lemma
طَبِيعِيّ,طبيعيا,same lemma
عادَة,عادات,same lemma
عَمِيل,عملائها,same lemma
غَد,غدًا,same lemma
قِراءَة,قراءته,same lemma
بَنِي,لتبني,same lemma
قاعِدَة,لقواعد,same lemma
تَنْفِيذ,للتنفيذ,same lemma
مَوْقِف,لمواقف,same lemma
نائِب,لنائب,same lemma
واقِع,لواقع,same lemma
مُؤَسَّسَة,مؤسساتها,same lemma
مُباراة,مباراته,same lemma
مَرْسُوم,مراسيم,same lemma
مَطْلَب,مطالبها,same lemma
مَكان,مكاناً,same lemma
نَظْم,نظمه,same lemma
عَرَف,نعرفه,same lemma
هَجْمَة,هجمة,same lemma
أَلْقَى,وألقت,same lemma
أَخَذ,واخذ,same lemma
وارِد,واردة,same lemma
واصِف,واصفاً,same lemma
ٱِقْتِصادِيّ,واقتصاديا,same lemma
أَجْنَبِيّ,والأجانب,same lemma
عام,والعامة,same lemma
مُخَدِّر,والمخدرات,same lemma
تَهْجِير,وتهجير,same lemma
خَلَص,وخلصت,same lemma
بَقِي,وسيبقى,same lemma
أَنَّ,ولان,same lemma
مُشْكِلَة,ومشكلة,same lemma
تَوَلِّي,ويتولى,same lemma
أَخَذ,يأخذون,same lemma
أَدار,يديرها,same lemma
رَسْم,يرسم,same lemma
شَدَّد,يشدد,same lemma
نَصْح,ينصح,same lemma
هاجَم,يهاجم,same lemma
رَأْي,آرائهم,same lemma
عاش,أعيش,same lemma
قَدَّم,أقدام,same lemma
أَكْثَر,أكثرها,same lemma
إِنْتاج,إنتاجه,same lemma
أَبْلَغ,ابلغت,same lemma
إِجْماع,اجماع,same lemma
ٱِسْم,اسمي,same lemma
ٱِعْتِماد,اعتمادا,same lemma
أَمْن,الآمن,same lemma
إِهْمال,الإهمال,same lemma
تَرَدَّد,التردد,same lemma
ثَقافِيّ,الثقافى,same lemma
حَرَج,الحرجة,same lemma
ذُرْوَة,الذروة,same lemma
صِيام,الصيام,same lemma
عُمانِيّ,العمانية,same lemma
مِثالِيّ,المثالية,same lemma
مُعَلِّم,المعلمات,same lemma
مِفْتاح,المفتاح,same lemma
مِلْيار,المليار,same lemma
نَبِيل,النبيلة,same lemma
أَوْقَف,اوقف,same lemma
أُغْنِيَة,بأغنية,same lemma
إِمْكان,بالامكان,same lemma
ثَقافَة,بالثقافة,same lemma
جانِب,بالجانب,same lemma
خَطَر,بالخطر,same lemma
تَسْوِيَة,بتسوية,same lemma
تَحَسُّب,تحسب,same lemma
رَشَّح,ترشحه,same lemma
سَكَن,تسكن,same lemma
كَثُر,تكثر,same lemma
أَلْغَى,تلغي,same lemma
جَلْد,جلد,same lemma
جَهْد,جهوداً,same lemma
حَرِص,حرصها,same lemma
دُسْتُورِيّ,دستوريا,same lemma
ذِهْنِيَّة,ذهنية,same lemma
حَدَّد,ستحدد,same lemma
فاز,سيفوز,same lemma
شَرِيعَة,شريعة,same lemma
شُمُولِيَّة,شمولية,same lemma
صُحُفِيّ,صحفيين,same lemma
عارَض,عارضت,same lemma
عَصْرِيّ,عصرية,same lemma
عادَة,عوائد,same lemma
عَوَض,عوضا,same lemma
وَرَى,فيرى,same lemma
قَطْع,قطعا,same lemma
قِمَّة,قمم,same lemma
